Název;Město;Země;Kód kategorie
BLOCK a.s.;Valašské Meziříčí;CZ;ELE-07
GABEN spol. s r.o.;Ostrava;CZ;ICT-08
Gatema PCB a.s.;Boskovice;CZ;ELE-02
Pragoboard s.r.o.;Praha;CZ;ELE-02
ČEMEBO s.r.o.;Blansko;CZ;ELE-02
SOS electronic s.r.o.;Brno;CZ;ELE-01
GM electronic, spol. s r.o.;Praha;CZ;ELE-01
GES-ELECTRONICS, a.s.;Plzeň;CZ;ELE-01
AVX Czech Republic s.r.o.;Lanškroun;CZ;ELE-01
TESLA Blatná, a.s.;Blatná;CZ;ELE-01
ZEZ SILKO s.r.o.;Žamberk;CZ;ELE-01
RETIA, a.s.;Pardubice;CZ;ELE-03
ELDIS Pardubice, s.r.o.;Pardubice;CZ;ELE-03
PRAKAB PRAŽSKÁ KABELOVNA, s.r.o.;Praha;CZ;ELE-04
LAPP Czech Republic s.r.o.;Otrokovice;CZ;ELE-04
Phoenix Contact, s.r.o.;Brno;CZ;ELE-04
WAGO-Elektro spol. s r.o.;Ostrava;CZ;ELE-04
Weidmüller s.r.o.;Klášterec nad Ohří;CZ;ELE-04
MEOPTA - optika, s.r.o.;Přerov;CZ;ELE-06
CRYTUR, spol. s r.o.;Turnov;CZ;ELE-06
LAO - průmyslové systémy s.r.o.;Praha;CZ;ELE-06
Kodys, spol. s r.o.;Praha;CZ;ICT-08
EPRIN spol. s r.o.;Brno;CZ;ICT-08
C SYSTEM CZ a.s.;Brno;CZ;ICT-01
TS Bohemia a.s.;Olomouc;CZ;ICT-01
100MEGA Distribution s.r.o.;Brno;CZ;ICT-01
ABRA Software a.s.;Praha;CZ;ICT-02
Asseco Solutions, a.s.;Praha;CZ;ICT-02
Gordic spol. s r.o.;Jihlava;CZ;ICT-02
Seyfor, a. s.;Brno;CZ;ICT-02
T-Mobile Czech Republic a.s.;Praha;CZ;ICT-06
O2 Czech Republic a.s.;Praha;CZ;ICT-06
Dial Telecom, a.s.;Praha;CZ;ICT-06
CETIN a.s.;Praha;CZ;ICT-06
Český metrologický institut;Brno;CZ;MET-02
MESING, spol. s r.o.;Brno;CZ;MET-02
PRIMA BILAVČÍK, s.r.o.;Uherský Brod;CZ;MET-02
Merci, s.r.o.;Brno;CZ;MET-03
P-LAB a.s.;Praha;CZ;MET-03
Verkon s.r.o.;Praha;CZ;MET-03
Chromservis s.r.o.;Praha;CZ;MET-03
Mitutoyo Česko s.r.o.;Teplice;CZ;MET-01
Blue Panther s.r.o.;Praha;CZ;MET-01
GHV Trading, spol. s r.o.;Brno;CZ;MET-01
Testo, s.r.o.;Praha;CZ;MET-01
Eurest, spol. s r.o.;Praha;CZ;FIR-06
Aramark, s.r.o.;Praha;CZ;FIR-06
GTH catering a.s.;Praha;CZ;FIR-06
Svaz průmyslu a dopravy ČR;Praha;CZ;FIR-09
Hospodářská komora České republiky;Praha;CZ;FIR-09
GUARANT International spol. s r.o.;Praha;CZ;FIR-07
C-IN, s.r.o.;Praha;CZ;FIR-07
Coca-Cola HBC Česko a Slovensko, s.r.o.;Praha;CZ;PROV-07
Kofola ČeskoSlovensko a.s.;Ostrava;CZ;PROV-07
Bidfood Czech Republic s.r.o.;Hradec Králové;CZ;PROV-07
OREA Hotels s.r.o.;Praha;CZ;FIR-07
CPI Hotels, a.s.;Praha;CZ;FIR-07
Ministerstvo financí ČR;Praha;CZ;FIR-09
Statutární město Brno;Brno;CZ;FIR-09
Úřad práce ČR;Praha;CZ;FIR-09
Edenred CZ s.r.o.;Praha;CZ;FIR-08
Up Česká republika s.r.o.;Praha;CZ;FIR-08
Pluxee Česká republika a.s.;Praha;CZ;FIR-08
TÜV SÜD Czech s.r.o.;Praha;CZ;PRO-03
Bureau Veritas Czech Republic, spol. s r.o.;Praha;CZ;PRO-03
Strojírenský zkušební ústav, s.p.;Brno;CZ;PRO-03
